Bügelsäge,Substantiv,"Bügel,Säge",f,Bügelsäge,,,,,,,,,Bügelsägen,,,,,,,,,Bügelsäge,,,,,,,,,Bügelsägen,,,,,,,,,Bügelsäge,,,,,,,,,Bügelsägen,,,,,,,,,Bügelsäge,,,,,,,,,Bügelsägen,,,,,,,,
Bürste,Substantiv,,f,Bürste,,,,,,,,,Bürsten,,,,,,,,,Bürste,,,,,,,,,Bürsten,,,,,,,,,Bürste,,,,,,,,,Bürsten,,,,,,,,,Bürste,,,,,,,,,Bürsten,,,,,,,,
Dachventilator,Substantiv,"Dach,Ventilator",m,Dachventilator,,,,,,,,,Dachventilatoren,,,,,,,,,Dachventilators,,,,,,,,,Dachventilatoren,,,,,,,,,Dachventilator,,,,,,,,,Dachventilatoren,,,,,,,,,Dachventilator,,,,,,,,,Dachventilatoren,,,,,,,,
Dampfhammer,Substantiv,"Dampf,Hammer",m,Dampfhammer,,,,,,,,,Dampfhämmer,,,,,,,,,Dampfhammers,,,,,,,,,Dampfhämmer,,,,,,,,,Dampfhammer,,,,,,,,,Dampfhämmern,,,,,,,,,Dampfhammer,,,,,,,,,Dampfhämmer,,,,,,,,
Dampfmaschine,Substantiv,"Dampf,Maschine",f,Dampfmaschine,,,,,,,,,Dampfmaschinen,,,,,,,,,Dampfmaschine,,,,,,,,,Dampfmaschinen,,,,,,,,,Dampfmaschine,,,,,,,,,Dampfmaschinen,,,,,,,,,Dampfmaschine,,,,,,,,,Dampfmaschinen,,,,,,,,
Deckenventilator,Substantiv,"Decke,Fugenelement,Ventilator",m,Deckenventilator,,,,,,,,,Deckenventilatoren,,,,,,,,,Deckenventilators,,,,,,,,,Deckenventilatoren,,,,,,,,,Deckenventilator,,,,,,,,,Deckenventilatoren,,,,,,,,,Deckenventilator,,,,,,,,,Deckenventilatoren,,,,,,,,
Dekupiersäge,Substantiv,"dekupieren,Säge",f,Dekupiersäge,,,,,,,,,Dekupiersägen,,,,,,,,,Dekupiersäge,,,,,,,,,Dekupiersägen,,,,,,,,,Dekupiersäge,,,,,,,,,Dekupiersägen,,,,,,,,,Dekupiersäge,,,,,,,,,Dekupiersägen,,,,,,,,
Dessertgabel,Substantiv,"Dessert,Gabel",f,Dessertgabel,,,,,,,,,Dessertgabeln,,,,,,,,,Dessertgabel,,,,,,,,,Dessertgabeln,,,,,,,,,Dessertgabel,,,,,,,,,Dessertgabeln,,,,,,,,,Dessertgabel,,,,,,,,,Dessertgabeln,,,,,,,,
Dessertmesser,Substantiv,"Dessert,Messer",n,Dessertmesser,,,,,,,,,Dessertmesser,,,,,,,,,Dessertmessers,,,,,,,,,Dessertmesser,,,,,,,,,Dessertmesser,,,,,,,,,Dessertmessern,,,,,,,,,Dessertmesser,,,,,,,,,Dessertmesser,,,,,,,,
Dieselgenerator,Substantiv,"Diesel,Generator",m,Dieselgenerator,,,,,,,,,Dieselgeneratoren,,,,,,,,,Dieselgenerators,,,,,,,,,Dieselgeneratoren,,,,,,,,,Dieselgenerator,,,,,,,,,Dieselgeneratoren,,,,,,,,,Dieselgenerator,,,,,,,,,Dieselgeneratoren,,,,,,,,
Dietrich,Substantiv,,m,Dietrich,,,,,,,,,Dietriche,,,,,,,,,Dietrichs,,,,,,,,,Dietriche,,,,,,,,,Dietrich,Dietriche,,,,,,,,Dietrichen,,,,,,,,,Dietrich,,,,,,,,,Dietriche,,,,,,,,
Dochtschere,Substantiv,"Docht,Schere",f,Dochtschere,,,,,,,,,Dochtscheren,,,,,,,,,Dochtschere,,,,,,,,,Dochtscheren,,,,,,,,,Dochtschere,,,,,,,,,Dochtscheren,,,,,,,,,Dochtschere,,,,,,,,,Dochtscheren,,,,,,,,
Doubliermaschine,Substantiv,"doublieren,Maschine",f,Doubliermaschine,,,,,,,,,Doubliermaschinen,,,,,,,,,Doubliermaschine,,,,,,,,,Doubliermaschinen,,,,,,,,,Doubliermaschine,,,,,,,,,Doubliermaschinen,,,,,,,,,Doubliermaschine,,,,,,,,,Doubliermaschinen,,,,,,,,
Drahtbürste,Substantiv,,f,Drahtbürste,,,,,,,,,Drahtbürsten,,,,,,,,,Drahtbürste,,,,,,,,,Drahtbürsten,,,,,,,,,Drahtbürste,,,,,,,,,Drahtbürsten,,,,,,,,,Drahtbürste,,,,,,,,,Drahtbürsten,,,,,,,,
Drahtschere,Substantiv,"Draht,Schere",f,Drahtschere,,,,,,,,,Drahtscheren,,,,,,,,,Drahtschere,,,,,,,,,Drahtscheren,,,,,,,,,Drahtschere,,,,,,,,,Drahtscheren,,,,,,,,,Drahtschere,,,,,,,,,Drahtscheren,,,,,,,,
Drehbank,Substantiv,,f,Drehbank,,,,,,,,,Drehbänke,,,,,,,,,Drehbank,,,,,,,,,Drehbänke,,,,,,,,,Drehbank,,,,,,,,,Drehbänken,,,,,,,,,Drehbank,,,,,,,,,Drehbänke,,,,,,,,
Drehleiter,Substantiv,"drehen,Leiter",f,Drehleiter,,,,,,,,,Drehleitern,,,,,,,,,Drehleiter,,,,,,,,,Drehleitern,,,,,,,,,Drehleiter,,,,,,,,,Drehleitern,,,,,,,,,Drehleiter,,,,,,,,,Drehleitern,,,,,,,,
Drehmomentschlüssel,Substantiv,,m,Drehmomentschlüssel,,,,,,,,,Drehmomentschlüssel,,,,,,,,,Drehmomentschlüssels,,,,,,,,,Drehmomentschlüssel,,,,,,,,,Drehmomentschlüssel,,,,,,,,,Drehmomentschlüsseln,,,,,,,,,Drehmomentschlüssel,,,,,,,,,Drehmomentschlüssel,,,,,,,,
Drehstromgenerator,Substantiv,"Drehstrom,Generator",m,Drehstromgenerator,,,,,,,,,Drehstromgeneratoren,,,,,,,,,Drehstromgenerators,,,,,,,,,Drehstromgeneratoren,,,,,,,,,Drehstromgenerator,,,,,,,,,Drehstromgeneratoren,,,,,,,,,Drehstromgenerator,,,,,,,,,Drehstromgeneratoren,,,,,,,,
Dreikantfeile,Substantiv,,f,Dreikantfeile,,,,,,,,,Dreikantfeilen,,,,,,,,,Dreikantfeile,,,,,,,,,Dreikantfeilen,,,,,,,,,Dreikantfeile,,,,,,,,,Dreikantfeilen,,,,,,,,,Dreikantfeile,,,,,,,,,Dreikantfeilen,,,,,,,,
Dreschmaschine,Substantiv,"dreschen,Maschine",f,Dreschmaschine,,,,,,,,,Dreschmaschinen,,,,,,,,,Dreschmaschine,,,,,,,,,Dreschmaschinen,,,,,,,,,Dreschmaschine,,,,,,,,,Dreschmaschinen,,,,,,,,,Dreschmaschine,,,,,,,,,Dreschmaschinen,,,,,,,,
Drillbohrer,Substantiv,,m,Drillbohrer,,,,,,,,,Drillbohrer,,,,,,,,,Drillbohrers,,,,,,,,,Drillbohrer,,,,,,,,,Drillbohrer,,,,,,,,,Drillbohrern,,,,,,,,,Drillbohrer,,,,,,,,,Drillbohrer,,,,,,,,
Druckluftbehälter,Substantiv,"Druckluft,Behälter",m,Druckluftbehälter,,,,,,,,,Druckluftbehälter,,,,,,,,,Druckluftbehälters,,,,,,,,,Druckluftbehälter,,,,,,,,,Druckluftbehälter,,,,,,,,,Druckluftbehältern,,,,,,,,,Druckluftbehälter,,,,,,,,,Druckluftbehälter,,,,,,,,
Druckluftwerkzeug,Substantiv,"Druckluft,Werkzeug",n,Druckluftwerkzeug,,,,,,,,,Druckluftwerkzeuge,,,,,,,,,Druckluftwerkzeuges,Druckluftwerkzeugs,,,,,,,,Druckluftwerkzeuge,,,,,,,,,Druckluftwerkzeug,Druckluftwerkzeuge,,,,,,,,Druckluftwerkzeugen,,,,,,,,,Druckluftwerkzeug,,,,,,,,,Druckluftwerkzeuge,,,,,,,,
Druckmaschine,Substantiv,"drucken,Maschine",f,Druckmaschine,,,,,,,,,Druckmaschinen,,,,,,,,,Druckmaschine,,,,,,,,,Druckmaschinen,,,,,,,,,Druckmaschine,,,,,,,,,Druckmaschinen,,,,,,,,,Druckmaschine,,,,,,,,,Druckmaschinen,,,,,,,,
Effilierschere,Substantiv,"effilieren,Schere",f,Effilierschere,,,,,,,,,Effilierscheren,,,,,,,,,Effilierschere,,,,,,,,,Effilierscheren,,,,,,,,,Effilierschere,,,,,,,,,Effilierscheren,,,,,,,,,Effilierschere,,,,,,,,,Effilierscheren,,,,,,,,
Egreniermaschine,Substantiv,"egrenieren,Maschine",f,Egreniermaschine,,,,,,,,,Egreniermaschinen,,,,,,,,,Egreniermaschine,,,,,,,,,Egreniermaschinen,,,,,,,,,Egreniermaschine,,,,,,,,,Egreniermaschinen,,,,,,,,,Egreniermaschine,,,,,,,,,Egreniermaschinen,,,,,,,,
Einbruchswerkzeug,Substantiv,"Einbruch,Werkzeug",n,Einbruchswerkzeug,,,,,,,,,Einbruchswerkzeuge,,,,,,,,,Einbruchswerkzeuges,Einbruchswerkzeugs,,,,,,,,Einbruchswerkzeuge,,,,,,,,,Einbruchswerkzeug,Einbruchswerkzeuge,,,,,,,,Einbruchswerkzeugen,,,,,,,,,Einbruchswerkzeug,,,,,,,,,Einbruchswerkzeuge,,,,,,,,
