lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Wetzstahl,Substantiv,,m,Wetzstahl,,,,,,,,,,,Wetzstähle,Wetzstahle,,,,,,Wetzstahles,Wetzstahls,,,,,,,,,,Wetzstähle,Wetzstahle,,,,,,Wetzstahl,Wetzstahle,,,,,,,,,,Wetzstählen,Wetzstahlen,,,,,,Wetzstahl,,,,,,,,,,,Wetzstähle,Wetzstahle,,,,,
Dachziegel,Substantiv,1,m,Dachziegel,,,,,,,,,Dachziegel,,,,,,,,,Dachziegels,,,,,,,,,Dachziegel,,,,,,,,,Dachziegel,,,,,,,,,Dachziegeln,,,,,,,,,Dachziegel,,,,,,,,,Dachziegel,,,,,,,,
Kniebank,Substantiv,1,f,Kniebank,,,,,,,,,Kniebänke,,,,,,,,,Kniebank,,,,,,,,,Kniebänke,,,,,,,,,Kniebank,,,,,,,,,Kniebänken,,,,,,,,,Kniebank,,,,,,,,,Kniebänke,,,,,,,,
Garagendach,Substantiv,1,n,Garagendach,,,,,,,,,Garagendächer,,,,,,,,,Garagendachs,Garagendaches,,,,,,,,Garagendächer,,,,,,,,,Garagendach,Garagendache,,,,,,,,Garagendächern,,,,,,,,,Garagendach,,,,,,,,,Garagendächer,,,,,,,,
Murmel,Substantiv,,f,Murmel,,,,,,,,,Murmeln,,,,,,,,,Murmel,,,,,,,,,Murmeln,,,,,,,,,Murmel,,,,,,,,,Murmeln,,,,,,,,,Murmel,,,,,,,,,Murmeln,,,,,,,,
Vakuummessröhre,Substantiv,1,f,Vakuummessröhre,,,,,,,,,Vakuummessröhren,,,,,,,,,Vakuummessröhre,,,,,,,,,Vakuummessröhren,,,,,,,,,Vakuummessröhre,,,,,,,,,Vakuummessröhren,,,,,,,,,Vakuummessröhre,,,,,,,,,Vakuummessröhren,,,,,,,,
Flamingo,Substantiv,,m,Flamingo,,,,,,,,,Flamingos,,,,,,,,,Flamingos,,,,,,,,,Flamingos,,,,,,,,,Flamingo,,,,,,,,,Flamingos,,,,,,,,,Flamingo,,,,,,,,,Flamingos,,,,,,,,
Nachtreisezug,Substantiv,,m,Nachtreisezug,,,,,,,,,Nachtreisezüge,,,,,,,,,Nachtreisezugs,Nachtreisezuges,,,,,,,,Nachtreisezüge,,,,,,,,,Nachtreisezug,Nachtreisezuge,,,,,,,,Nachtreisezügen,,,,,,,,,Nachtreisezug,,,,,,,,,Nachtreisezüge,,,,,,,,
Feile,Substantiv,,f,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,
Gipfeli,Substantiv,,n,Gipfeli,,,,,,,,,Gipfeli,,,,,,,,,Gipfelis,,,,,,,,,Gipfeli,,,,,,,,,Gipfeli,,,,,,,,,Gipfeli,,,,,,,,,Gipfeli,,,,,,,,,Gipfeli,,,,,,,,
Rechen,Substantiv,,m,Rechen,,,,,,,,,Rechen,,,,,,,,,Rechens,,,,,,,,,Rechen,,,,,,,,,Rechen,,,,,,,,,Rechen,,,,,,,,,Rechen,,,,,,,,,Rechen,,,,,,,,
Mettwurst,Substantiv,1,f,Mettwurst,,,,,,,,,Mettwürste,,,,,,,,,Mettwurst,,,,,,,,,Mettwürste,,,,,,,,,Mettwurst,,,,,,,,,Mettwürsten,,,,,,,,,Mettwurst,,,,,,,,,Mettwürste,,,,,,,,
Braunelle,Substantiv,,f,Braunelle,,,,,,,,,Braunellen,,,,,,,,,Braunelle,,,,,,,,,Braunellen,,,,,,,,,Braunelle,,,,,,,,,Braunellen,,,,,,,,,Braunelle,,,,,,,,,Braunellen,,,,,,,,
Kanonierblume,Substantiv,1,f,Kanonierblume,,,,,,,,,Kanonierblumen,,,,,,,,,Kanonierblume,,,,,,,,,Kanonierblumen,,,,,,,,,Kanonierblume,,,,,,,,,Kanonierblumen,,,,,,,,,Kanonierblume,,,,,,,,,Kanonierblumen,,,,,,,,
Kapellenturm,Substantiv,1,m,Kapellenturm,,,,,,,,,Kapellentürme,,,,,,,,,Kapellenturmes,Kapellenturms,,,,,,,,Kapellentürme,,,,,,,,,Kapellenturm,Kapellenturme,,,,,,,,Kapellentürmen,,,,,,,,,Kapellenturm,,,,,,,,,Kapellentürme,,,,,,,,
Girlande,Substantiv,,f,Girlande,,,,,,,,,Girlanden,,,,,,,,,Girlande,,,,,,,,,Girlanden,,,,,,,,,Girlande,,,,,,,,,Girlanden,,,,,,,,,Girlande,,,,,,,,,Girlanden,,,,,,,,
Bulette,Substantiv,,f,Bulette,,,,,,,,,Buletten,,,,,,,,,Bulette,,,,,,,,,Buletten,,,,,,,,,Bulette,,,,,,,,,Buletten,,,,,,,,,Bulette,,,,,,,,,Buletten,,,,,,,,
Zwerggalaxie,Substantiv,1,f,Zwerggalaxie,,,,,,,,,Zwerggalaxien,,,,,,,,,Zwerggalaxie,,,,,,,,,Zwerggalaxien,,,,,,,,,Zwerggalaxie,,,,,,,,,Zwerggalaxien,,,,,,,,,Zwerggalaxie,,,,,,,,,Zwerggalaxien,,,,,,,,
Holzsäge,Substantiv,1,f,Holzsäge,,,,,,,,,Holzsägen,,,,,,,,,Holzsäge,,,,,,,,,Holzsägen,,,,,,,,,Holzsäge,,,,,,,,,Holzsägen,,,,,,,,,Holzsäge,,,,,,,,,Holzsägen,,,,,,,,
Rasthof,Substantiv,,m,Rasthof,,,,,,,,,Rasthöfe,,,,,,,,,Rasthofs,Rasthofes,,,,,,,,Rasthöfe,,,,,,,,,Rasthof,Rasthofe,,,,,,,,Rasthöfen,,,,,,,,,Rasthof,,,,,,,,,Rasthöfe,,,,,,,,
Sägemühle,Substantiv,1,f,Sägemühle,,,,,,,,,Sägemühlen,,,,,,,,,Sägemühle,,,,,,,,,Sägemühlen,,,,,,,,,Sägemühle,,,,,,,,,Sägemühlen,,,,,,,,,Sägemühle,,,,,,,,,Sägemühlen,,,,,,,,
Wäscheklammer,Substantiv,,f,Wäscheklammer,,,,,,,,,Wäscheklammern,,,,,,,,,Wäscheklammer,,,,,,,,,Wäscheklammern,,,,,,,,,Wäscheklammer,,,,,,,,,Wäscheklammern,,,,,,,,,Wäscheklammer,,,,,,,,,Wäscheklammern,,,,,,,,
Netzwerkdrucker,Substantiv,1,m,Netzwerkdrucker,,,,,,,,,Netzwerkdrucker,,,,,,,,,Netzwerkdruckers,,,,,,,,,Netzwerkdrucker,,,,,,,,,Netzwerkdrucker,,,,,,,,,Netzwerkdruckern,,,,,,,,,Netzwerkdrucker,,,,,,,,,Netzwerkdrucker,,,,,,,,
Pampelmuse,Substantiv,,f,Pampelmuse,,,,,,,,,Pampelmusen,,,,,,,,,Pampelmuse,,,,,,,,,Pampelmusen,,,,,,,,,Pampelmuse,,,,,,,,,Pampelmusen,,,,,,,,,Pampelmuse,,,,,,,,,Pampelmusen,,,,,,,,
Wetterschutzgitter,Substantiv,1,n,Wetterschutzgitter,,,,,,,,,Wetterschutzgitter,,,,,,,,,Wetterschutzgitters,,,,,,,,,Wetterschutzgitter,,,,,,,,,Wetterschutzgitter,,,,,,,,,Wetterschutzgittern,,,,,,,,,Wetterschutzgitter,,,,,,,,,Wetterschutzgitter,,,,,,,,
Schlafsaal,Substantiv,1,m,Schlafsaal,,,,,,,,,Schlafsäle,,,,,,,,,Schlafsaales,Schlafsaals,,,,,,,,Schlafsäle,,,,,,,,,Schlafsaal,Schlafsaale,,,,,,,,Schlafsälen,,,,,,,,,Schlafsaal,,,,,,,,,Schlafsäle,,,,,,,,
Kastanie,Substantiv,,f,Kastanie,,,,,,,,,Kastanien,,,,,,,,,Kastanie,,,,,,,,,Kastanien,,,,,,,,,Kastanie,,,,,,,,,Kastanien,,,,,,,,,Kastanie,,,,,,,,,Kastanien,,,,,,,,
Familienkarte,Substantiv,1,f,Familienkarte,,,,,,,,,Familienkarten,,,,,,,,,Familienkarte,,,,,,,,,Familienkarten,,,,,,,,,Familienkarte,,,,,,,,,Familienkarten,,,,,,,,,Familienkarte,,,,,,,,,Familienkarten,,,,,,,,
Schneckenhaus,Substantiv,1,n,Schneckenhaus,,,,,,,,,Schneckenhäuser,,,,,,,,,Schneckenhauses,,,,,,,,,Schneckenhäuser,,,,,,,,,Schneckenhaus,Schneckenhause,,,,,,,,Schneckenhäusern,,,,,,,,,Schneckenhaus,,,,,,,,,Schneckenhäuser,,,,,,,,
Futteral,Substantiv,,n,Futteral,,,,,,,,,Futterale,,,,,,,,,Futterals,,,,,,,,,Futterale,,,,,,,,,Futteral,,,,,,,,,Futteralen,,,,,,,,,Futteral,,,,,,,,,Futterale,,,,,,,,
Ameisenbär,Substantiv,1,m,Ameisenbär,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,,Ameisenbären,,,,,,,,
Metallgegenstand,Substantiv,1,m,Metallgegenstand,,,,,,,,,Metallgegenstände,,,,,,,,,Metallgegenstandes,Metallgegenstands,,,,,,,,Metallgegenstände,,,,,,,,,Metallgegenstand,Metallgegenstande,,,,,,,,Metallgegenständen,,,,,,,,,Metallgegenstand,,,,,,,,,Metallgegenstände,,,,,,,,
Holzstiel,Substantiv,1,m,Holzstiel,,,,,,,,,Holzstiele,,,,,,,,,Holzstieles,Holzstiels,,,,,,,,Holzstiele,,,,,,,,,Holzstiel,Holzstiele,,,,,,,,Holzstielen,,,,,,,,,Holzstiel,,,,,,,,,Holzstiele,,,,,,,,
Stahlbürste,Substantiv,,f,Stahlbürste,,,,,,,,,Stahlbürsten,,,,,,,,,Stahlbürste,,,,,,,,,Stahlbürsten,,,,,,,,,Stahlbürste,,,,,,,,,Stahlbürsten,,,,,,,,,Stahlbürste,,,,,,,,,Stahlbürsten,,,,,,,,
Haufenwolke,Substantiv,1,f,Haufenwolke,,,,,,,,,Haufenwolken,,,,,,,,,Haufenwolke,,,,,,,,,Haufenwolken,,,,,,,,,Haufenwolke,,,,,,,,,Haufenwolken,,,,,,,,,Haufenwolke,,,,,,,,,Haufenwolken,,,,,,,,
Spitzer,Substantiv,,m,Spitzer,,,,,,,,,Spitzer,,,,,,,,,Spitzers,,,,,,,,,Spitzer,,,,,,,,,Spitzer,,,,,,,,,Spitzern,,,,,,,,,Spitzer,,,,,,,,,Spitzer,,,,,,,,
Ofenring,Substantiv,1,m,Ofenring,,,,,,,,,Ofenringe,,,,,,,,,Ofenringes,Ofenrings,,,,,,,,Ofenringe,,,,,,,,,Ofenring,Ofenringe,,,,,,,,Ofenringen,,,,,,,,,Ofenring,,,,,,,,,Ofenringe,,,,,,,,
Pfirsich,Substantiv,,m,Pfirsich,,,,,,,,,Pfirsiche,,,,,,,,,Pfirsichs,Pfirsiches,,,,,,,,Pfirsiche,,,,,,,,,Pfirsich,Pfirsiche,,,,,,,,Pfirsichen,,,,,,,,,Pfirsich,,,,,,,,,Pfirsiche,,,,,,,,
Karte,Substantiv,,f,Karte,,,,,,,,,Karten,,,,,,,,,Karte,,,,,,,,,Karten,,,,,,,,,Karte,,,,,,,,,Karten,,,,,,,,,Karte,,,,,,,,,Karten,,,,,,,,
Handsack,Substantiv,1,m,Handsack,,,,,,,,,Handsäcke,,,,,,,,,Handsackes,Handsacks,,,,,,,,Handsäcke,,,,,,,,,Handsack,Handsacke,,,,,,,,Handsäcken,,,,,,,,,Handsack,,,,,,,,,Handsäcke,,,,,,,,
Notstromaggregat,Substantiv,1,n,Notstromaggregat,,,,,,,,,Notstromaggregate,,,,,,,,,Notstromaggregats,Notstromaggregates,,,,,,,,Notstromaggregate,,,,,,,,,Notstromaggregat,,,,,,,,,Notstromaggregaten,,,,,,,,,Notstromaggregat,,,,,,,,,Notstromaggregate,,,,,,,,
Fleck,Substantiv,,m,Fleck,,,,,,,,,,,Flecke,Flecken,,,,,, Flecks, Fleckes,,,,,,,,,, Flecke, Flecken,,,,,,Fleck,Flecke,,,,,,,,,,Flecken,Flecken,,,,,,Fleck,,,,,,,,,,, Flecke,Flecken,,,,,
Mittelfinger,Substantiv,1,m,Mittelfinger,,,,,,,,,Mittelfinger,,,,,,,,,Mittelfingers,,,,,,,,,Mittelfinger,,,,,,,,,Mittelfinger,,,,,,,,,Mittelfingern,,,,,,,,,Mittelfinger,,,,,,,,,Mittelfinger,,,,,,,,
Okarina,Substantiv,,f,Okarina,,,,,,,,,,,Okarinen,Okarinas,,,,,,Okarina,,,,,,,,,,,Okarinen,Okarinas,,,,,,Okarina,,,,,,,,,,,Okarinen,Okarinas,,,,,,,,Okarina,,,,,,,,,Okarinen,Okarinas,,,,,
Keiler,Substantiv,,m,Keiler,,,,,,,,,Keiler,,,,,,,,,Keilers,,,,,,,,,Keiler,,,,,,,,,Keiler,,,,,,,,,Keilern,,,,,,,,,Keiler,,,,,,,,,Keiler,,,,,,,,
Hüpfball,Substantiv,1,m,Hüpfball,,,,,,,,,Hüpfbälle,,,,,,,,,Hüpfballes,Hüpfballs,,,,,,,,Hüpfbälle,,,,,,,,,Hüpfball,Hüpfballe,,,,,,,,Hüpfbällen,,,,,,,,,Hüpfball,,,,,,,,,Hüpfbälle,,,,,,,,
Schaluppe,Substantiv,,f,Schaluppe,,,,,,,,,Schaluppen,,,,,,,,,Schaluppe,,,,,,,,,Schaluppen,,,,,,,,,Schaluppe,,,,,,,,,Schaluppen,,,,,,,,,Schaluppe,,,,,,,,,Schaluppen,,,,,,,,
Muschelsuppe,Substantiv,1,f,Muschelsuppe,,,,,,,,,Muschelsuppen,,,,,,,,,Muschelsuppe,,,,,,,,,Muschelsuppen,,,,,,,,,Muschelsuppe,,,,,,,,,Muschelsuppen,,,,,,,,,Muschelsuppe,,,,,,,,,Muschelsuppen,,,,,,,,
Flugtier,Substantiv,1,n,Flugtier,,,,,,,,,Flugtiere,,,,,,,,,Flugtieres,Flugtiers,,,,,,,,Flugtiere,,,,,,,,,Flugtier,Flugtiere,,,,,,,,Flugtieren,,,,,,,,,Flugtier,,,,,,,,,Flugtiere,,,,,,,,
Fässchen,Substantiv,,n,Fässchen,,,,,,,,,Fässchen,,,,,,,,,Fässchens,,,,,,,,,Fässchen,,,,,,,,,Fässchen,,,,,,,,,Fässchen,,,,,,,,,Fässchen,,,,,,,,,Fässchen,,,,,,,,
Cupcake,Substantiv,,m,Cupcake,,,,,,,,,Cupcakes,,,,,,,,,Cupcakes,,,,,,,,,Cupcakes,,,,,,,,,Cupcake,,,,,,,,,Cupcakes,,,,,,,,,Cupcake,,,,,,,,,Cupcakes,,,,,,,,
Unterarmknochen,Substantiv,1,m,Unterarmknochen,,,,,,,,,Unterarmknochen,,,,,,,,,Unterarmknochens,,,,,,,,,Unterarmknochen,,,,,,,,,Unterarmknochen,,,,,,,,,Unterarmknochen,,,,,,,,,Unterarmknochen,,,,,,,,,Unterarmknochen,,,,,,,,
Balkenanker,Substantiv,1,m,Balkenanker,,,,,,,,,Balkenanker,,,,,,,,,Balkenankers,,,,,,,,,Balkenanker,,,,,,,,,Balkenanker,,,,,,,,,Balkenankern,,,,,,,,,Balkenanker,,,,,,,,,Balkenanker,,,,,,,,
Handfeger,Substantiv,,m,Handfeger,,,,,,,,,Handfeger,,,,,,,,,Handfegers,,,,,,,,,Handfeger,,,,,,,,,Handfeger,,,,,,,,,Handfegern,,,,,,,,,Handfeger,,,,,,,,,Handfeger,,,,,,,,
Betonmischmaschine,Substantiv,1,f,Betonmischmaschine,,,,,,,,,Betonmischmaschinen,,,,,,,,,Betonmischmaschine,,,,,,,,,Betonmischmaschinen,,,,,,,,,Betonmischmaschine,,,,,,,,,Betonmischmaschinen,,,,,,,,,Betonmischmaschine,,,,,,,,,Betonmischmaschinen,,,,,,,,
Boxershorts,Substantiv,,f,-,,,,,,,,,Boxershorts,,,,,,,,,-,,,,,,,,,Boxershorts,,,,,,,,,-,,,,,,,,,Boxershorts,,,,,,,,,-,,,,,,,,,Boxershorts,,,,,,,,
Piephahn,Substantiv,,m,Piephahn,,,,,,,,,Piephähne,,,,,,,,,Piephahnes,Piephahns,,,,,,,,Piephähne,,,,,,,,,Piephahn,Piephahne,,,,,,,,Piephähnen,,,,,,,,,Piephahn,,,,,,,,,Piephähne,,,,,,,,
Eiskasten,Substantiv,1,m,Eiskasten,,,,,,,,,,,Eiskästen,Eiskasten,,,,,,Eiskastens,,,,,,,,,,,Eiskästen,Eiskasten,,,,,,Eiskasten,,,,,,,,,,,Eiskästen,Eiskasten,,,,,,Eiskasten,,,,,,,,,,,Eiskästen,Eiskasten,,,,,
Mammutknochen,Substantiv,1,m,Mammutknochen,,,,,,,,,Mammutknochen,,,,,,,,,Mammutknochens,,,,,,,,,Mammutknochen,,,,,,,,,Mammutknochen,,,,,,,,,Mammutknochen,,,,,,,,,Mammutknochen,,,,,,,,,Mammutknochen,,,,,,,,
Atomeisbrecher,Substantiv,,m,Atomeisbrecher,,,,,,,,,Atomeisbrecher,,,,,,,,,Atomeisbrechers,,,,,,,,,Atomeisbrecher,,,,,,,,,Atomeisbrecher,,,,,,,,,Atomeisbrechern,,,,,,,,,Atomeisbrecher,,,,,,,,,Atomeisbrecher,,,,,,,,
Telefon,Substantiv,,n,Telefon,,,,,,,,,Telefone,,,,,,,,,Telefons,,,,,,,,,Telefone,,,,,,,,,Telefon,,,,,,,,,Telefonen,,,,,,,,,Telefon,,,,,,,,,Telefone,,,,,,,,
Totentrompete,Substantiv,,f,Totentrompete,,,,,,,,,Totentrompeten,,,,,,,,,Totentrompete,,,,,,,,,Totentrompeten,,,,,,,,,Totentrompete,,,,,,,,,Totentrompeten,,,,,,,,,Totentrompete,,,,,,,,,Totentrompeten,,,,,,,,
Zehnerschlüssel,Substantiv,,m,Zehnerschlüssel,,,,,,,,, Zehnerschlüssel,,,,,,,,,Zehnerschlüssels,,,,,,,,,Zehnerschlüssel,,,,,,,,,Zehnerschlüssel,,,,,,,,,Zehnerschlüsseln,,,,,,,,,Zehnerschlüssel,,,,,,,,,Zehnerschlüssel,,,,,,,,
Tentakel,Substantiv,,,,,Tentakel,Tentakel,,,,,,Tentakel,,,,,,,,,,,Tentakels,Tentakels,,,,,,Tentakel,,,,,,,,,,,Tentakel,Tentakel,,,,,,Tentakeln,,,,,,,,,,,Tentakel,Tentakel,,,,,,Tentakel,,,,,,,,
Zwangsjacke,Substantiv,1,f,Zwangsjacke,,,,,,,,,Zwangsjacken,,,,,,,,,Zwangsjacke,,,,,,,,,Zwangsjacken,,,,,,,,,Zwangsjacke,,,,,,,,,Zwangsjacken,,,,,,,,,Zwangsjacke,,,,,,,,,Zwangsjacken,,,,,,,,
200-Euro-Schein,Substantiv,,m,200-Euro-Schein,,,,,,,,,200-Euro-Scheine,,,,,,,,,200-Euro-Scheines,200-Euro-Scheins,,,,,,,,200-Euro-Scheine,,,,,,,,,200-Euro-Schein,200-Euro-Scheine,,,,,,,,200-Euro-Scheinen,,,,,,,,,200-Euro-Schein,,,,,,,,,200-Euro-Scheine,,,,,,,,
Teebeutel,Substantiv,1,m,Teebeutel,,,,,,,,,Teebeutel,,,,,,,,,Teebeutels,,,,,,,,,Teebeutel,,,,,,,,,Teebeutel,,,,,,,,,Teebeuteln,,,,,,,,,Teebeutel,,,,,,,,,Teebeutel,,,,,,,,
Jagdflugzeug,Substantiv,1,n,Jagdflugzeug,,,,,,,,,Jagdflugzeuge,,,,,,,,,Jagdflugzeuges,Jagdflugzeugs,,,,,,,,Jagdflugzeuge,,,,,,,,,Jagdflugzeug,Jagdflugzeuge,,,,,,,,Jagdflugzeugen,,,,,,,,,Jagdflugzeug,,,,,,,,,Jagdflugzeuge,,,,,,,,
Fischfilet,Substantiv,1,n,Fischfilet,,,,,,,,,Fischfilets,,,,,,,,,Fischfilets,,,,,,,,,Fischfilets,,,,,,,,,Fischfilet,,,,,,,,,Fischfilets,,,,,,,,,Fischfilet,,,,,,,,,Fischfilets,,,,,,,,
Fernsprecher,Substantiv,,m,Fernsprecher,,,,,,,,,Fernsprecher,,,,,,,,,Fernsprechers,,,,,,,,,Fernsprecher,,,,,,,,,Fernsprecher,,,,,,,,,Fernsprechern,,,,,,,,,Fernsprecher,,,,,,,,,Fernsprecher,,,,,,,,
Jagdgewehr,Substantiv,1,n,Jagdgewehr,,,,,,,,,Jagdgewehre,,,,,,,,,Jagdgewehres,Jagdgewehrs,,,,,,,,Jagdgewehre,,,,,,,,,Jagdgewehr,Jagdgewehre,,,,,,,,Jagdgewehren,,,,,,,,,Jagdgewehr,,,,,,,,,Jagdgewehre,,,,,,,,
Wackerstein,Substantiv,,m,Wackerstein,,,,,,,,,Wackersteine,,,,,,,,,Wackersteins,Wackersteines,,,,,,,,Wackersteine,,,,,,,,,Wackerstein,Wackersteine,,,,,,,,Wackersteinen,,,,,,,,,Wackerstein,,,,,,,,,Wackersteine,,,,,,,,
Cocktail,Substantiv,,m,Cocktail,,,,,,,,,Cocktails,,,,,,,,,Cocktails,,,,,,,,,Cocktails,,,,,,,,,Cocktail,,,,,,,,,Cocktails,,,,,,,,,Cocktail,,,,,,,,,Cocktails,,,,,,,,
Deckelkrug,Substantiv,1,m,Deckelkrug,,,,,,,,,Deckelkrüge,,,,,,,,,Deckelkruges,Deckelkrugs,,,,,,,,Deckelkrüge,,,,,,,,,Deckelkrug,Deckelkruge,,,,,,,,Deckelkrügen,,,,,,,,,Deckelkrug,,,,,,,,,Deckelkrüge,,,,,,,,
Melkmaschine,Substantiv,1,f,Melkmaschine,,,,,,,,,Melkmaschinen,,,,,,,,,Melkmaschine,,,,,,,,,Melkmaschinen,,,,,,,,,Melkmaschine,,,,,,,,,Melkmaschinen,,,,,,,,,Melkmaschine,,,,,,,,,Melkmaschinen,,,,,,,,
Schokoladenweihnachtsmann,Substantiv,1,m,Schokoladenweihnachtsmann,,,,,,,,,Schokoladenweihnachtsmänner,,,,,,,,,Schokoladenweihnachtsmannes,Schokoladenweihnachtsmanns,,,,,,,,Schokoladenweihnachtsmänner,,,,,,,,,Schokoladenweihnachtsmann,Schokoladenweihnachtsmanne,,,,,,,,Schokoladenweihnachtsmännern,,,,,,,,,Schokoladenweihnachtsmann,,,,,,,,,Schokoladenweihnachtsmänner,,,,,,,,
Holzsarg,Substantiv,1,m,Holzsarg,,,,,,,,,Holzsärge,,,,,,,,,Holzsargs,Holzsarges,,,,,,,,Holzsärge,,,,,,,,,Holzsarg,Holzsarge,,,,,,,,Holzsärgen,,,,,,,,,Holzsarg,,,,,,,,,Holzsärge,,,,,,,,
Stoffkappe,Substantiv,1,f,Stoffkappe,,,,,,,,,Stoffkappen,,,,,,,,,Stoffkappe,,,,,,,,,Stoffkappen,,,,,,,,,Stoffkappe,,,,,,,,,Stoffkappen,,,,,,,,,Stoffkappe,,,,,,,,,Stoffkappen,,,,,,,,
Turmfalke,Substantiv,1,m,Turmfalke,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,,Turmfalken,,,,,,,,
Kokon,Substantiv,,m,Kokon,,,,,,,,,Kokons,,,,,,,,,Kokons,,,,,,,,,Kokons,,,,,,,,,Kokon,,,,,,,,,Kokons,,,,,,,,,Kokon,,,,,,,,,Kokons,,,,,,,,
Häkeldecke,Substantiv,1,f,Häkeldecke,,,,,,,,,Häkeldecken,,,,,,,,,Häkeldecke,,,,,,,,,Häkeldecken,,,,,,,,,Häkeldecke,,,,,,,,,Häkeldecken,,,,,,,,,Häkeldecke,,,,,,,,,Häkeldecken,,,,,,,,
Quarkkuchen,Substantiv,1,m,Quarkkuchen,,,,,,,,,Quarkkuchen,,,,,,,,,Quarkkuchens,,,,,,,,,Quarkkuchen,,,,,,,,,Quarkkuchen,,,,,,,,,Quarkkuchen,,,,,,,,,Quarkkuchen,,,,,,,,,Quarkkuchen,,,,,,,,
Hundskopfaffe,Substantiv,,m,Hundskopfaffe,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,,Hundskopfaffen,,,,,,,,
Tausend-Franken-Note,Substantiv,,f,Tausend-Franken-Note,,,,,,,,,Tausend-Franken-Noten,,,,,,,,,Tausend-Franken-Note,,,,,,,,,Tausend-Franken-Noten,,,,,,,,,Tausend-Franken-Note,,,,,,,,,Tausend-Franken-Noten,,,,,,,,,Tausend-Franken-Note,,,,,,,,,Tausend-Franken-Noten,,,,,,,,
Krummhorn,Substantiv,1,n,Krummhorn,,,,,,,,,Krummhörner,,,,,,,,,Krummhornes,Krummhorns,,,,,,,,Krummhörner,,,,,,,,,Krummhorn,Krummhorne,,,,,,,,Krummhörnern,,,,,,,,,Krummhorn,,,,,,,,,Krummhörner,,,,,,,,
Porzellanteller,Substantiv,,m,Porzellanteller,,,,,,,,,Porzellanteller,,,,,,,,,Porzellantellers,,,,,,,,,Porzellanteller,,,,,,,,,Porzellanteller,,,,,,,,,Porzellantellern,,,,,,,,,Porzellanteller,,,,,,,,,Porzellanteller,,,,,,,,
Kinderzahn,Substantiv,1,m,Kinderzahn,,,,,,,,,Kinderzähne,,,,,,,,,Kinderzahns,Kinderzahnes,,,,,,,,Kinderzähne,,,,,,,,,Kinderzahn,Kinderzahne,,,,,,,,Kinderzähnen,,,,,,,,,Kinderzahn,,,,,,,,,Kinderzähne,,,,,,,,
Golfschuh,Substantiv,1,m,Golfschuh,,,,,,,,,Golfschuhe,,,,,,,,,Golfschuhes,Golfschuhs,,,,,,,,Golfschuhe,,,,,,,,,Golfschuh,,,,,,,,,Golfschuhen,,,,,,,,,Golfschuh,,,,,,,,,Golfschuhe,,,,,,,,
Molar,Substantiv,,,,,Molar,Molar,,,,,,Molaren,,,,,,,,,,,Molars,Molaren,,,,,,Molaren,,,,,,,,,,,Molar,Molaren,,,,,,Molaren,,,,,,,,,,,Molar,Molaren,,,,,,Molaren,,,,,,,,
Barrikade,Substantiv,,f,Barrikade,,,,,,,,,Barrikaden,,,,,,,,,Barrikade,,,,,,,,,Barrikaden,,,,,,,,,Barrikade,,,,,,,,,Barrikaden,,,,,,,,,Barrikade,,,,,,,,,Barrikaden,,,,,,,,
